Insegnamento;anno;periodo;"CFU
totali";"ore
totali";"ore
aula";"CFU
aula";"ore
eserc.";"CFU
eserc.";"ore
lab.";"CFU
lab.";SSD
Paradigmi di programmazione;II;2 semestre;6;48;48;6;;;;;INF
Cybersecurity: principles and practices;II;1 semestre;6;48;48;6;;;;;INF
Diritto, informatica e società;II;2 semestre;6;48;48;6;;;;;INF
Metodi e tecnologie per lo sviluppo software;II;2 semestre;6;48;48;6;;;;;INF
Introduzione all'apprendimento automatico;II;2 semestre;6;48;40;5;;;8;1;INF
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
