Scuola;Tipo corso;Corso di laurea - Sede;Classe di laurea;Donne N.;Donne voto medio;Donne durata media;Uomini N.;Uomini voto medio;Uomini durata media;Totale N.;Totale voto medio;Totale durata media
;;PSICOLOGIA DELLO SVILUPPO E DELL'EDUCAZIONE - PADOVA;LM-51;95;104,4;2,4;12;103,5;2,7;107;104,3;2,4
;;PSICOLOGIA DI COMUNITÀ - PADOVA;LM-51;1;85,0;8,6;1;107,0;8,3;2;96,0;8,4
;;PSICOLOGIA DI COMUNITA', DELLA PROMOZIONE DEL BENESSERE E DEL CAMBIAMENTO SOCIALE - PADOVA;LM-51;62;106,9;2,4;24;104,8;2,6;86;106,3;2,4
;;PSICOLOGIA SOCIALE, DEL LAVORO E DELLA COMUNICAZIONE - PADOVA;LM-51;77;109,1;2,3;21;107,8;2,4;98;108,8;2,4
;Corso di Laurea;PSICOLOGIA - PADOVA;;3;102,7;36,3;;;;3;102,7;36,3
Psicologia Totale;;;;1367;106,2;2,8;354;104,0;3,1;1.721;105,8;2,9
Scienze;Corso di Laurea (DM 270);ASTRONOMIA - PADOVA;L-30;19;97,3;4,2;28;95,9;4,8;47;96,4;4,6
;;BIOLOGIA - PADOVA;L-13;55;100,1;3,3;24;96,7;3,4;79;99,1;3,3
;;BIOLOGIA MOLECOLARE - PADOVA;L-13;30;100,6;3,1;12;101,2;3,3;42;100,7;3,2
;;BIOTECNOLOGIE - PADOVA;L-2;59;102,1;3,3;39;99,9;3,3;98;101,2;3,3
;;CHIMICA - PADOVA;L-27;22;98,7;3,3;36;103,9;3,2;58;101,9;3,3
;;CHIMICA INDUSTRIALE - PADOVA;L-27;11;101,8;3,7;24;101,3;3,5;35;101,5;3,6
;;FISICA - PADOVA;L-30;41;98,9;4,0;97;100,1;4,0;138;99,7;4,0
;;INFORMATICA - PADOVA;L-31;10;99,1;4,3;96;96,6;4,3;106;96,8;4,3
;;MATEMATICA - PADOVA;L-35;44;94,8;4,0;50;101,1;3,7;94;98,2;3,8
;;OTTICA E OPTOMETRIA - PADOVA;L-30;20;97,0;3,9;12;93,2;3,9;32;95,6;3,9
;;SCIENZA DEI MATERIALI - PADOVA;L-27;5;103,8;3,0;17;94,9;4,0;22;97,0;3,8
;;SCIENZE E TECNOLOGIE PER L'AMBIENTE - PADOVA;L-32;15;100,8;3,5;16;99,1;3,6;31;99,9;3,6
;;SCIENZE GEOLOGICHE - PADOVA;L-34;7;96,4;3,5;16;102,3;3,3;23;100,5;3,4
;;SCIENZE NATURALI - PADOVA;L-32;26;102,3;3,4;18;98,8;3,8;44;100,9;3,6
;;STATISTICA PER LE TECNOLOGIE E LE SCIENZE - PADOVA;L-41;22;99,7;3,5;36;101,1;3,7;58;100,6;3,6
;;STATISTICA PER L'ECONOMIA E L'IMPRESA - PADOVA;L-41;58;96,7;3,7;67;98,4;3,8;125;97,6;3,8
;;STATISTICA, ECONOMIA E FINANZA - PADOVA;L-41;1;78,0;10,1;;;;1;78,0;10,1
;Corso di Laurea Magistrale;ASTROPHYSICS AND COSMOLOGY - PADOVA;LM-17,58;31;107,4;2,5;37;108,5;2,6;68;108,0;2,5
;;BIOLOGIA EVOLUZIONISTICA - PADOVA;LM-6;19;108,4;2,6;20;107,5;2,7;39;107,9;2,6
;;BIOLOGIA MARINA - CHIOGGIA (VE);LM-6;3;109,0;3,7;1;110,0;2,4;4;109,3;3,4
;;BIOLOGIA SANITARIA - PADOVA;LM-6;50;109,1;2,3;7;109,6;2,1;57;109,1;2,3
;;BIOTECNOLOGIE INDUSTRIALI - PADOVA;LM-8;34;108,1;2,5;37;106,7;2,6;71;107,4;2,5
;;CHIMICA - PADOVA;LM-54;27;108,6;2,3;32;108,6;2,6;59;108,6;2,5
;;CHIMICA INDUSTRIALE - PADOVA;LM-71;14;106,9;2,6;26;106,3;2,6;40;106,5;2,6
;;COMPUTER SCIENCE - PADOVA;LM-18;6;106,7;2,0;11;108,3;2,2;17;107,7;2,1
;;CYBERSECURITY - PADOVA;LM-66;5;106,8;2,5;23;101,7;2,5;28;102,6;2,5
;;DATA SCIENCE - PADOVA;LM-91;32;102,0;2,4;50;105,3;2,2;82;104,0;2,3
;;FISICA - PADOVA;LM-17;;;;1;110,0;12,7;1;110,0;12,7
;;GEOLOGIA AMBIENTALE E DINAMICA DELLA TERRA - PADOVA;LM-74;6;109,5;1,9;10;109,6;2,0;16;109,6;2,0
;;GEOLOGIA E GEOLOGIA TECNICA - PADOVA;LM-74;2;107,0;1,8;6;100,7;2,5;8;102,3;2,3
;;GEOPHYSICS FOR NATURAL RISKS AND RESOURCES - PADOVA;LM-79;6;110,0;2,4;12;106,0;2,7;18;107,3;2,6
;;INFORMATICA - PADOVA;LM-18;1;102,0;3,9;21;104,4;3,1;22;104,3;3,2
;;MARINE BIOLOGY - CHIOGGIA (VE);LM-6;9;109,4;2,1;5;104,8;2,1;14;107,8;2,1
;;MATEMATICA - PADOVA;LM-40;30;109,0;2,4;46;109,3;2,6;76;109,2;2,5
;;MATHEMATICS - PADOVA;LM-40;;;;1;110,0;1,0;1;110,0;1,0
;;MOLECULAR BIOLOGY - PADOVA;LM-6;34;105,0;2,1;18;108,6;2,1;52;106,3;2,1
;;PHYSICS - PADOVA;LM-17;34;107,2;2,6;71;107,7;2,6;105;107,6;2,6
;;PHYSICS OF DATA - PADOVA;LM-17;9;107,7;2,8;38;107,6;2,6;47;107,6;2,6
;;SCIENZA DEI MATERIALI - PADOVA;LM-53;7;108,4;3,1;22;106,3;2,7;29;106,8;2,8
;;SCIENZE DELLA NATURA - PADOVA;LM-60;12;107,4;2,6;12;108,3;2,9;24;107,8;2,7
;;SCIENZE STATISTICHE - PADOVA;LM-82;34;102,3;2,7;28;104,4;2,6;62;103,3;2,6
;;SUSTAINABLE CHEMISTRY AND TECHNOLOGIES FOR CIRCULAR ECONOMY - PADOVA;LM-71;6;107,3;2,2;11;109,1;2,2;17;108,5;2,2
Scienze Totale;;;;856;102,9;3,0;1.134;102,9;3,2;1.990;102,9;3,1
Scienze Umane, Sociali e del Patrimonio Culturale;Corso di Laurea (DM 270);ARCHEOLOGIA - PADOVA;L-1;16;106,3;3,6;22;103,1;4,1;38;104,4;3,9
;;COMUNICAZIONE - PADOVA;L-20;88;105,6;3,2;56;100,1;3,6;144;103,5;3,4
;;DISCIPLINE DELLE ARTI, DELLA MUSICA E DELLO SPETTACOLO - PADOVA;L-3;69;104,9;3,7;24;103,0;4,0;93;104,4;3,8
;;FILOSOFIA - PADOVA;L-5;46;106,7;3,8;48;106,9;4,1;94;106,8;4,0
;;LETTERE - PADOVA;L-10;110;106,5;3,6;49;106,9;3,8;159;106,6;3,6
;;LINGUE, LETTERATURE E CULTURE MODERNE - PADOVA;L-11;3;99,0;11,7;;;;3;99,0;11,7
;;LINGUE, LETTERATURE E MEDIAZIONE CULTURALE - PADOVA;L-11,12;294;103,4;3,6;43;102,0;3,7;337;103,3;3,6
;;MEDIAZIONE LINGUISTICA E CULTURALE - PADOVA;L-12;4;101,3;9,2;;;;4;101,3;9,2
;;PROGETTAZIONE E GESTIONE DEL TURISMO CULTURALE - PADOVA;L-15;104;102,4;3,7;29;98,4;3,9;133;101,5;3,7
;;SCIENZE DELL'EDUCAZIONE E DELLA FORMAZIONE - PADOVA;L-19;119;99,3;3,6;15;100,4;4,1;134;99,5;3,7
;;SCIENZE DELL'EDUCAZIONE E DELLA FORMAZIONE - ROVIGO;L-19;118;100,9;3,8;6;98,2;4,8;124;100,8;3,8
;;SCIENZE SOCIOLOGICHE - PADOVA;L-40;76;101,1;3,8;28;99,9;3,9;104;100,8;3,8
;;STORIA - PADOVA;L-42;16;107,5;3,9;51;104,8;4,1;67;105,5;4,1
;;STORIA E TUTELA DEI BENI ARTISTICI E MUSICALI - PADOVA;L-1;46;105,7;4,3;11;104,8;3,8;57;105,6;4,2
;Corso di Laurea (DM 509);LETTERE - PADOVA;5;;;;1;97,0;17,0;1;97,0;17,0
;;SCIENZE DELL'EDUCAZIONE - PADOVA;18;1;88,0;16,7;;;;1;88,0;16,7
;;STORIA E TUTELA DEI BENI CULTURALI - PADOVA;13;1;99,0;16,4;;;;1;99,0;16,4
;Corso di Laurea Magistrale;CULTURE, FORMAZIONE E SOCIETÀ GLOBALE - PADOVA;LM-85,88;132;102,9;3,2;15;101,2;3,7;147;102,7;3,2
;;FILOLOGIA MODERNA - FRANCESISTICA E ITALIANISTICA - PADOVA;LM-14;3;101,7;2,4;2;110,0;2,5;5;105,0;2,4
;;FILOLOGIA MODERNA - PADOVA;LM-14;73;108,7;2,8;24;109,5;2,6;97;108,9;2,7
;;LETTERE CLASSICHE E STORIA ANTICA - PADOVA;LM-15;10;109,5;2,7;8;109,5;2,6;18;109,5;2,6
;;LINGUE E LETTERATURE EUROPEE E AMERICANE - PADOVA;LM-37;65;108,8;2,6;13;108,2;2,3;78;108,7;2,6
;;LINGUE MODERNE PER LA COMUNICAZIONE E LA COOPERAZIONE INTERNAZIONALE - PADOVA;LM-38;135;107,3;2,7;9;105,9;2,9;144;107,2;2,7
;;LINGUISTICA - PADOVA;LM-39;60;107,4;2,8;10;104,6;3,5;70;107,0;2,9
;;LOCAL DEVELOPMENT - PADOVA;LM-81;30;106,0;2,4;8;104,4;2,5;38;105,7;2,4
;;MANAGEMENT DEI SERVIZI EDUCATIVI E FORMAZIONE CONTINUA - ROVIGO;LM-50,57;94;105,4;2,7;9;105,2;2,8;103;105,3;2,7
;;MUSICA E ARTI PERFORMATIVE - PADOVA;LM-45;1;110,0;8,3;;;;1;110,0;8,3
;;PEDAGOGIA - PADOVA;LM-85;20;101,0;2,1;1;100,0;2,2;21;100,9;2,2
;;PLURALISMO CULTURALE, MUTAMENTO SOCIALE E MIGRAZIONI - PADOVA;LM-88;17;108,4;2,2;6;108,0;2,1;23;108,3;2,2
;;PROGRAMMAZIONE E GESTIONE DEI SERVIZI EDUCATIVI, SCOLASTICI E FORMATIVI - ROVIGO;LM-50;1;91,0;12,4;;;;1;91,0;12,4
;;SCIENZE ARCHEOLOGICHE - PADOVA;LM-2;19;108,8;2,5;9;108,9;3,1;28;108,9;2,7
;;SCIENZE DELLE RELIGIONI - PADOVA;LM-64;7;108,3;4,3;10;108,1;3,6;17;108,2;3,9
;;SCIENZE DELLO SPETTACOLO E PRODUZIONE MULTIMEDIALE - PADOVA;LM-65;34;108,2;2,7;17;108,2;2,8;51;108,2;2,7
;;SCIENZE FILOSOFICHE - PADOVA;LM-78;18;109,4;3,2;33;109,4;3,1;51;109,4;3,1
;;SCIENZE PER IL PAESAGGIO - PADOVA;LM-80;14;109,4;2,7;6;109,0;2,8;20;109,3;2,7
;;SCIENZE STORICHE - PADOVA;LM-84;30;108,1;3,1;47;107,9;3,0;77;108,0;3,0
;;SCIENZE UMANE E PEDAGOGICHE - PADOVA;LM-85;1;95,0;10,2;;;;1;95,0;10,2
;;STORIA DELL'ARTE - PADOVA;LM-89;32;108,6;3,2;5;105,2;2,9;37;108,1;3,2
;;STRATEGIE DI COMUNICAZIONE - PADOVA;LM-92;78;106,6;2,3;27;103,9;2,5;105;105,9;2,4
;;TECNICHE, PATRIMONIO, TERRITORI DELL'INDUSTRIA - TECHNIQUES, PATRIMOINE, TERRITOIRES DE L'INDUSTRIE - PADOVA;LM-84;9;107,8;2,0;5;110,0;2,0;14;108,6;2,0
;;TURISMO, CULTURA, SOSTENIBILITA' - PADOVA;LM-49;17;108,5;2,2;4;110,0;2,2;21;108,8;2,2
;Laurea Magistrale Ciclo Unico 5 anni;SCIENZE DELLA FORMAZIONE PRIMARIA - PADOVA;LM-85 bis;171;107,3;5,6;10;107,4;5,9;181;107,3;5,6
;Corso di Laurea;SCIENZE DELLA FORMAZIONE PRIMARIA - PADOVA;;2;94,0;18,0;;;;2;94,0;18,0
;;SCIENZE DELL'EDUCAZIONE - PADOVA;;1;97,0;28,9;;;;1;97,0;28,9
Scienze Umane, Sociali e del Patrimonio Culturale Totale;;;;2.185;105,0;3,5;661;104,8;3,5;2.846;105,0;3,5
Ateneo;;;;8.192;103,8;3,4;6417;101,5;3,5;14.609;102,8;3,5
;;;;;;;;;;;;
